#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg;Owner of a Dragon Egg;Propriétaire d'un Œuf de Dragon;;;Propietario de un huevo de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg_desc;Dragons lay large; scaled eggs to reproduce. Over the eons un-hatched eggs can become fossilized. Dragons have no fixed gender differentiation - according to Maester Aemon dragons are 'but now one and now the other; as changeable as flame'; presumably meaning that they are able to change from one sex to the other and back for whatever reason. This means the mating habits of dragons are not fully understood.\n\nUpon the death of an owner of a dragon egg; the order of precendence for inheritance is:\n1- The current heir; if the same dynasty\n2- A child of of the same dynasty\n3- A sibling of the same dynasty\n4- Any member of the same dynasty\n5- The current heir\n6- Any child\n7- Spouse\n8- Liege\n9 -Any vassal;Les dragons naissent dans de grands oeufs. Au bout d'un certain temps; les oeufs qui n'ont pas éclos peuvent se fossiliser. Les dragons n'ont pas un genre prédéterminé; selon mestre Aemon les dragons peuvent être d'un genre puis d'un autre; changeant telles les flammes. Cela veut sûrement dire qu'ils sont capables de changer de sexe mais la reproduction des dragons reste un mystère.\n\nA la mort du propriétaire; l'ordre de succession pour hériter de l'oeuf de dragon est le suivant:\n1- L'actuel héritier; si il est de la même dynastie\n2- Un enfant de la même dynastie\n3- Un frère ou une soeur de la même dynastie\n4- N'importe quel membre de la même dynastie\n5- L'actuel héritier\n6- N'importe quel enfant\n7- L'épouse(x)\n8- Le suzerain\n9 -N'importe quel vassal;;;Los dragones nacen de grandes huevos. Tras un largo tiepo; los huevos que no han eclosionado pueden fosilizarse. Los dragones no tienen un género predeterminado y pueden cambiar de sexo; según el Maestre Aemon. De todos modos; la reproducción de los dragones sigue siendo un misterio.;;;;;;;;;x;;;
#EVTDESCdragon.50;Your final charge finds its target but somehow [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] manages to cling onto [From.GetHerHis] dragon and escapes.;Votre charge finale a atteint son but mais [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] est parvenu à rester en selle et à vous échapper.;;;Tu carga final encontró el objetivo pero [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] consiguió mantener la montura y escapar.;;;;;;;;;x;;;;;;;;;;;;;;;;
#EVTOPTAdragon.50;That's right; run back to [From.Capital.GetName].;C'est ça ! Va te réfugier à [From.Capital.GetName] !;;;Eso; vuelve corriendo a [From.Capital.GetName]!;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESC3370110;A dragon duel between [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] and [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] started.;Un duel de dragons entre [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] et [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a commencé.;;;Un duelo de dragones entre [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] y [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha comenzado.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESC3370112;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] lost dragon duel against [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a perdu un duel de dragons contre [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha perdido un duelo de dragones contra [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESC3370113;Something went wrong when trying to scope dragon duel enemy of [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;Quelque chose s'est mal passé lorsque vous avez essayé de repérer le dragon de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pendant le duel.;;;Algo salió mal cuando intentaste localizar al dragón de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] durante el duelo.;;;;;;;;;x;;;;;;;;;;;;;;;;
#EVTDESCdragon.51;Your final charge rips the enemy beast apart. [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] is thrown out of the mount and falls to his death.;Votre charge finale a eu raison de la bête ennemie. [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a été désarçonné(e). Sa chute lui sera fatale. ;;;Tu última carga acaba con la bestia rival. [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha sido desmontado. La caída será mortal.;;;;;;;;;x;;;;;;;;;;;;;;;;
#EVTOPTAdragon.51;Fire and Blood!;Feu et Sang !;;;Fuego y Sangre!;;;;;;;;;x;;;;;;;;;;;;;;;;
#EVTDESCdragon.52;A miracle! Somehow you survive the fall that should have killed you. Looking up you stare in the eyes of the massive beast that killed your dragon. Your opponent will now decide your fate.;Incroyable ! Vous ne savez pas par quel miracle mais vous avez survécu à la chute qui aurait dû vous tuer. Mais en ouvrant les yeux vous tombez nez à nez avec la bête massive qui a tué votre dragon. Votre adversaire a votre destin entre ses mains. ;;;Increíble! No sabes por que milagro has sobrevivido a la caída que tendría que haberte matado. Pero al abrir los ojos te encuentras cara a cara con la bestia formidable que ha matado a tu dragón. Tu adversario tiene tu destino en sus manos.;;;;;;;;;x;;;;;;;;;;;;;;;;
#EVTOPTAdragon.52;Mercy!;Pitié !;;;Piedad!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.53;You start diving upon [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] only to see him retreat as fast as he can. There's no way you can catch up to him.;Vous piquez à toute vitesse en direction de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] mais ce dernier prend la fuite. Il n'y a aucune chance pour que vous puissiez le rattraper. ;;;Te diriges a toda velocidad en dirección a [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pero él huye. No hay ninguna posibilidad de atraparlo.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.53;What a coward.;Quel couard.;;;Que cobarde.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.54;You start diving upon [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] only to see him retreat as fast as he can. Being faster you catch up to him and prepare to attack him from behind.;Vous piquez à toute vitesse en direction de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]; mais ce dernier prend la fuite. Votre dragon est plus rapide que le sien et vous parvenez à le rattraper; prêt à l'attaquer de dos.;;;Te diriges a toda velocidad en dirección a [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pero él huye. Tu dragón es más rápido que el suyo y consigue alcanzarlo; preparado para atacarlo por la espalda.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.54;Nice try.;Bien essayé.;;;Bien hecho.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.55;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] decends upon you; and you try to escape. Every time you look behind he gets closer. Combat is unavoidable.;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pique sur vous à toute vitesse et vous tentez de lui échapper. A chaque fois que vous jetez un coup d'œil derrière vous; il est plus près. Le combat est inévitable. ;;;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] se dirige hacia ti a toda velocidad y tu intentas escaparte. Cada vez que miras atrás; está más cerca. El combate es inevitable.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.55;I can feel [FromFrom.GetHerHis] lance in my neck .;Je peux sentir sa lance dans mon dos. ;;;Puedo sentir su lanza en mi nuca. ;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.56;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] decided to hide behind his walls instead of enganing your approach.;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a décidé de se cacher derrière ses murailles plus que d'aller à votre encontre.;;;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha decidido esconderse detrás de sus murallas antes que ir a tu encuentro.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.56;Walls that can be molten by dragonfire.;Des murailles qui fonderont sous l'effet du feudragon.;;;Murallas que se fundirán bajo el fuego de dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.57;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] decends upon you; but you manage to get away.;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pique sur vous à toute vitesse mais vous parvenez à vous échapper. ;;;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] se dirige hacia ti a toda velocidad pero consigues escapar. ;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.57;Catch me if you can.;Attrape-moi si tu peux.;;;Atrápame si puedes.;;;;;;;;;x;;;;;;;;;;;;;;;;
poor_warrior_dragon;Mediocre Dragon Rider;Chevaucheur de dragon médiocre;;;Jinete de Dragón mediocre;;;;;;;;;x;;;;;;;;;;;;;;;;
trained_warrior_dragon;Experienced Dragon Rider;Chevaucheur de dragon expérimenté;;;Jinete de Dragón experimentado;;;;;;;;;x;;;;;;;;;;;;;;;;
skilled_warrior_dragon;Supreme Dragon Rider;Chevaucheur de dragon suprême;;;Jinete de Dragón supremo;;;;;;;;;x;;;;;;;;;;;;;;;;
master_warrior_dragon;Legendary Dragon Rider;Chevaucheur de dragon légendaire;;;Jinete de Dragón legendario;;;;;;;;;x;;;;;;;;;;;;;;;;
poor_warrior_dragon_desc;Mediocre Dragon Rider;Chevaucheur de dragon médiocre;;;Jinete de Dragón mediocre;;;;;;;;;x;;;;;;;;;;;;;;;;
trained_warrior_dragon_desc;Experienced Dragon Rider;Chevaucheur de dragon expérimenté;;;Jinete de Dragón experimentado;;;;;;;;;x;;;;;;;;;;;;;;;;
skilled_warrior_dragon_desc;Supreme Dragon Rider;Chevaucheur de dragon suprême;;;Jinete de Dragón supremo;;;;;;;;;x;;;;;;;;;;;;;;;;
master_warrior_dragon_desc;Legendary Dragon Rider;Chevaucheur de dragon légendaire;;;Jinete de Dragón legendario;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon_conquest_surrender_EMP;[Root.GetFirstNameWithDynasty] will lose their crown and be named Lord Paramount of [This.GetName]; swearing fealty to [From.PrimaryTitle.GetName]\n;[Root.GetFirstNameWithDynasty] va perdre sa couronne et devenir Lord Suzerain de [This.GetName]; jurant fidélité au (à la) [From.PrimaryTitle.GetName]\n;;;[Root.GetFirstNameWithDynasty] perderá su corona y se convertirá en Señor Supremo de [This.GetName]; jurando fidelidad al [From.PrimaryTitle.GetName]\n;;;;;;;;;x;;;;;;;;;;;;;
opinion_surrendered;Surrendered;S'est rendu(e);;;Se ha rendido;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.682;[Root.PrimaryTitle.GetFOA]; [From.GetFirstNameWithDynasty]; your liege Lord; has surrendered and bent the knee to the Dragon rider [FromFrom.GetFirstNameWithDynasty]. Clearly [From.GetSheHe] felt fighting such formidable beasts a folly.;[Root.PrimaryTitle.GetFOA]; [From.GetFirstNameWithDynasty]; votre suzerain; s'est rendu(e) et a plié le genou devant le Chevaucheur de Dragon [FromFrom.GetFirstNameWithDynasty]. [From.GetSheHe] pense clairement que combattre une si formidable créature serait de la folie. ;;;[Root.PrimaryTitle.GetFOA]; [From.GetFirstNameWithDynasty]; vuestro Señor; se ha rendido y ha doblado la rodilla ante el jinete de dragón [FromFrom.GetFirstNameWithDynasty]. Cree sinceramente que combatir a una criatura tan formidable es una locura. ;;;;;;;;;x;;;;;;;
EVTOPTAdragon.682;I will have to serve this new [FromFrom.GetTitle];Je vais devoir servir ce(tte) nouveau(elle) [FromFrom.GetTitle].;;;Tendré que servir a este nuevo [FromFrom.GetTitle].;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.350;It has occured to me that [Root.PlotTarget.GetTitledFirstName]'s dragon always settles down to doze at dusk. If I were to find a group of men willing to attack it at this vunerable time we could slay this beast once and for all?;J'ai entendu dire que le dragon de [Root.PlotTarget.GetTitledFirstName] s'allongeait toujours au crépuscule pour somnoler. Si je pouvais réunir un groupe prêt à l'attaquer à ce moment; peut-être serions nous débarrasser de cette bête une bonne fois pour toutes ?;;;He oído que el dragón [Root.PlotTarget.GetTitledFirstName] se tumba todas lastardespara dormir. Si pudiese reunir un grupo para atacarlo en ese momento; tal vez podríamos deshacernos de esa bestia de una vez por todas?;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTBdragon.350;Hire the men;Engager des hommes;;;Contratar hombres;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.350;I'm sure it's guards can be convinced to help me...;Je suis sûre que je peux convaincre ses gardes de m'aider…;;;Estoy seguro que puedo convencer a sus guardias para que me ayuden...;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTTOOLTIPdragon.355;Hire a group of armed men to try and slay [This.GetTitledFirstName]'s dragon;Engager un groupe d'hommes armés pour tuer le dragon de [This.GetTitledFirstName];;;Contratar un grupo de hombres armados para matar al dragón de [This.GetTitledFirstName];;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.351;This dragon must die; and I have some brave fools willing to try and slay the beast whilst it is dozing.;Ce dragon doit mourir; et j'ai quelques braves fous qui veulent tuer la bête pendant qu'elle somnole. ;;;Este dragón debe morir; y tengo algunos locos valientes que quieren matarlo mientras duerme. ;;;;;;;;;x;;;;;;;;;;;;;
EVTTOOLTIPdragon.360;Tell [This.GetTitledFirstName] of the idea to kill [This.PlotTarget.GetTitledFirstName]'s dragon;Parler à [This.GetTitledFirstName] du plan pour tuer le dragon de [This.PlotTarget.GetTitledFirstName];;;Hablar con [This.GetTitledFirstName] del plan para matar al dragón de [This.PlotTarget.GetTitledFirstName];;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.352;My co-conspirator; [From.GetTitledFirstName]; is asking for funds to hire a gang of armed men to kill [Root.PlotTarget.GetTitledFirstName]'s whilst it is asleep...;Mon complice; [From.GetTitledFirstName]; me demande des fonds pour engager une bande d'hommes armés qui l'aideront à tuer le dragon de [Root.PlotTarget.GetTitledFirstName] tandis qu'il somnole…;;;Mi cómplice; [From.GetTitledFirstName]; solicita ayuda financiera para contratar una banda de hombres armados para ayudarle a matar al dragón de [Root.PlotTarget.GetTitledFirstName] mientras duerme…;;;;;;;;;x;;;;;;;;;;
EVTOPTAdragon.352;Very well; they must be brave;Très bien; ils doivent être braves;;;Muy bien; deberán ser valientes...;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTBdragon.352;I'm paying such a sum for mere ruffians;Payer une telle somme pour un ramassis de brutes ?;;;Pagar una suma tan grande por un grupo de rufianes?;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.353;[From.GetTitledFirstName] has sent me the necessary funds to hire the armed gang to kill [From.PlotTarget.GetTitledFirstName]'s dragon...;[From.GetTitledFirstName] m'a envoyé les fonds nécessaires pour engager une bande d'hommes armés dans le but de tuer le dragon de [From.PlotTarget.GetTitledFirstName]…;;;[From.GetTitledFirstName] me ha enviado los fondos necesarios para contratar a una banda de hombres armados con el objetivo de matar al dragón de [From.PlotTarget.GetTitledFirstName]…;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.354;[From.GetTitledFirstName] has refused to fund the hiring of a gang to kill [From.PlotTarget.GetTitledFirstName]'s dragon.;[From.GetTitledFirstName] a refusé de financer l'engagement d'une bande pour tuer le dragon de [From.PlotTarget.GetTitledFirstName].;;;[From.GetTitledFirstName] ha rechazado financiar la contratación de una banda de hombres armados para matar al dragón de [From.PlotTarget.GetTitledFirstName].;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.356;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
dany_give_spouse_dragon;Give [Root.Spouse.GetFirstName] a Dragon;Donner un dragon à [Root.Spouse.GetFirstName];;;Dar un dragón a [Root.Spouse.GetFirstName];;;;;;;;;x;;;;;;;;;;;;;;;;
dany_give_spouse_dragon_desc;I have three dragons; and if he is worthy [Root.Spouse.GetFirstName] shall ride one.;J'ai trois dragons; peut-être que [Root.Spouse.GetFirstName] est digne d'en monter un ?;;;Tengo tres dragones; tal vez [Root.Spouse.GetFirstName] sea digno de montar uno?;;;;;;;;;x;;;;;;;;;;;;;
TOOLTIPrhaegalSPOUSE;Your spouse [Root.Spouse.GetFirstName] shall be given Rhaegal to try and tame as his own.;Votre époux(se) [Root.Spouse.GetFirstName] recevra Rhaegal pour l'apprivoiser. ;;;Tu cónyuge [Root.Spouse.GetFirstName] recibirá a Rhaegal para domarlo. ;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPviserionSPOUSE;Your spouse [Root.Spouse.GetFirstName] shall be given Viserion to try and tame as his own.;Votre époux(se) [Root.Spouse.GetFirstName] recevra Viserion pour l'apprivoiser. ;;;Tu cónyuge [Root.Spouse.GetFirstName] recibirá a Viserion para domarlo. ;;;;;;;;;x;;;;;;;;;;;;;;;;
dany_give_child_dragon;Give your child a Dragon;Donner un dragon a votre enfant;;;Dar un dragón a tu hijo;;;;;;;;;x;;;;;;;;;;;;;;;;
dany_give_child_dragon_desc;I have three dragons; and if they are worthy my children shall ride them.;J'ai trois dragons; mes enfants sont peut-être dignes d'en monter un.;;;Tengo tres dragones; quizás mis hijos sean dignos dignos de montar a uno.;;;;;;;;;x;;;;;;;;;;;;;
TOOLTIPrhaegalCHILD;[This.GetFirstName] shall be given Rhaegal to try and tame as [This.GetHerHis] own.;[This.GetFirstName] recevra Rhaegal pour l'apprivoiser. ;;;[This.GetFirstName] recibirá a Rhaegal para domarlo. ;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPviserionCHILD;[This.GetFirstName] shall be given Viserion to try and tame as [This.GetHerHis] own.;[This.GetFirstName] recevra Viserion pour l'apprivoiser. ;;;[This.GetFirstName] recibirá a Viserion para domarlo. ;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.400;My [From.GetRootRelation] Daenerys; the Mother of Dragons; has deemed me worthy to try and tame one of her children; giving me one of her dragons.;Ma [From.GetRootRelation] Daenerys; la Mère des Dragons; m'a jugé digne d'apprivoiser l'un de ses enfants en me donnant l'un de ses dragons.;;;Mi [From.GetRootRelation] Daenerys; la Madre de Dragones; me ha juzgado digno de domar a uno de sus hijos y me ha dado a uno de sus dragones.;;;;;;;;;x;;;;;;;;;
TOOLTIPrhaegalME;You have been given Rhaegal\n;Vous avez reçu Rhaegal\n;;;Has recibido a Rhaegal\n;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPviserionME;You have been given Viserion\n;Vous avez reçu Viserion\n;;;Has recibido a Viserion\n;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.400;Now to tame the beast;Maintenant il est temps d'apprivoiser la bête;;;Es hora de domar a la bestia;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.23;[FromFrom.GetFirstNameWithDynasty] has died; causing [FromFrom.GetHerHis] dragon [From.GetFirstName] to fly into a rage and establish a lair in [Root.GetName].;[FromFrom.GetFirstNameWithDynasty] est mort; son dragon [From.GetFirstName] s'en est allé pour établir un repaire à [Root.GetName].;;;[FromFrom.GetFirstNameWithDynasty] está muerto; su dragón [From.GetFirstName] se ha marchado para establecer una guarida en [Root.GetName].;;;;;;;;;x;;;;;;;;;;;;;
EVTDESCdragon.20;Your [From.GetRootRelation] [From.GetTitledFirstName] has decreed in [From.GetHerHis] will that you shall be the guardian of their Dragon; to tame and ride for the glory of House [Root.GetOnlyDynastyName].;Votre [From.GetRootRelation] [From.GetTitledFirstName] a décidé que vous seriez le gardien de ses dragons; pour les apprivoiser et les monter pour la gloire de la maison [Root.GetOnlyDynastyName].;;;Tu [From.GetRootRelation] [From.GetTitledFirstName] ha decidido que serás el guardian de sus dragones; para domarlos y montarlos para la goria de la casa [Root.GetOnlyDynastyName].;;;;;;;;;x;;;;;;;;;;;;;
EVTDESCdragon.21;Your [From.GetRootRelation] [From.GetTitledFirstName] has decreed in [From.GetHerHis] will that you shall receive [From.GetHerHis] prized Dragon Egg.;Votre [From.GetRootRelation] [From.GetTitledFirstName] a décidé que vous recevrez son précieux œuf de dragon. ;;;Tu [From.GetRootRelation] [From.GetTitledFirstName] ha decidido que recibirás sus preciados huevos de dragón. ;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTNAMEdragon.76;The Age of Dragons;L'Age des Dragons;;;La Era de los Dragones;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.76;The Dragons of Old Valyria; the mythic beasts of the Targaryens; were long thought to be all dead. But no more. Many a warrior now calls themself a Dragon rider; and all the world is theirs for the taking.\n\nThe Age of Dragons is upon us once more...;Les dragons de l'Antique Valyria; les bêtes mythiques des Targaryen; étaient considérés par tous comme disparus. Mais ce n'est plus le cas. Bien des guerriers se disent chevaucheurs de dragon; et le monde leur appartient désormais.\n\nL'Age des Dragons est de retour...;;;Los dragones de la Antigua Valyria; las bestias místicas de los Targaryen; estaban consideradas por todos extintas. Pero ya no es así. Muchoas guerreros se hacen llamar jinetes de dragón; y el mundo les pertenece ahora.\n\nLa Era de los Dragones ha regresado...;;;;;;;;;x;;;;;;;
EVTOPTAdragon.76;All tremble before me!;Tous trembleront devant moi !;;;Todos tiemblan ante mí!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.76;A truly wonderous age;Un âge véritablement merveilleux !;;;Una era verdaderamente fabulosa!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTNAMEdragon.77;The Fall of the Dragons;La Chute des Dragons;;;La Caída de los Dragones;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.77;The Dragons of Old Valyria are no more. The last has been rumored to have perished; probably in some foolhardy battle. Now the Age of Dragons has passed no one need fear the wrath of a Dragon Rider; every man free to pursue his ambitions.;Les dragons de l'Antique Valyria ne sont plus. On dit que le dernier vient de périr; probablement lors d'une bataille sanglante. Maintenant que l'Age des Dragons s'achève; plus personne ne doit craindre la colère des chevaucheurs de dragon; chaque homme est libre de poursuivre ses ambitions. ;;;Los dragones de la Antigua Valyria ya no están. Dicen que el último acaba de morir; probablemente durante una sangrienta batalla. Ahora que la Edad de los Dragones se acaba; nadie debe temer la ira de los jinetes de dragón; cada hombre es libre de perseguir sus ambiciones.;;;;;;;;;x;;;;;;;;
TOOLTIPDRAGONLAIR;A Dragon has a lair in the lands of [This.GetTitle] [This.GetFirstNameWithDynasty] of [This.PrimaryTitle.GetName];Un dragon s'est installé sur les terres de [This.GetTitle] [This.GetFirstNameWithDynasty] de [This.PrimaryTitle.GetName];;;Un dragón se ha instalado en las tierras de [This.GetTitle] [This.GetFirstNameWithDynasty] de [This.PrimaryTitle.GetName];;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.3410;After a hard fight you managed to kill the dragon [From.GetFirstName].;Après un dur combat; vous êtes parvenu à tuer le dragon [From.GetFirstName].;;;Tras un duro combate; has conseguido matar al dragón [From.GetFirstName].;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESCdragon.3710;What madness let you think you could defeat [FromFrom.GetFirstName] with a sword? You failed and will have to pay the price.;Quelle folie s'est emparée de vous ? Pensiez-vous vraiment pouvoir tuer [From.GetFirstName] avec une épée ? Vous avez échoué et devrez en payer le prix.  ;;;Qué locura te ha entrado? Pensabas realmente que podrías matar al dragón con un  espada? Has fracasado y pagas el precio.Vous avez échoué et devrez en payer le prix.  ;;;;;;;;;x;;;;;;;;;;;;;;;;
fed_to_dragon_death;in a wild Dragon's flames;brûlé vif par un dragon sauvage;;;quemado vivo por un dragón salvaje;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPDRAGONINTEL;[Root.GetTitledFirstName] must have at least one piece of intelligence on Dragonlore; obtained by visiting places of Dragonlore significance.\n;[Root.GetTitledFirstName] doit avoir au moins quelques connaissances sur les dragons; obtenues par la visite de lieux ayant un lien avec les dragons.\n;;;[Root.GetTitledFirstName] debe tener al menos unos cuantos conocimientos sobre dragones; obtenidos visitando lugares relacionados con los dragones.\n;;;;;;;;;x;;;;;;;;;;;;;
dragon_intel_smoking_sea_desc;You have braved the Smoking Sea; where many ships have gone and not gone back. You have seen for yourself great fires that ripped Old Valyria asunder and vanquished most of their Dragons.;Vous avez bravé la mer Fumeuse où de si nombreux navires sont partis pour ne jamais en revenir. Vous avez vu de vos propres yeux les grandes flammes qui ont dévasté l'ancienne Valyria et tué la grande majorité de leurs dragons. ;;;Has desafiado al Mar Humeante donde numerosos navíos han partido pero nunca regresado. Has visto con tus propios ojos las grandes llamas que devastaron la Antigua Valyria y matado a la mayoría de sus dragones. ;;;;;;;;;x;;;;;;;;;;;;;;;
dragon_intel_smoking_sea_opt;Maybe if I could replicate such intense heat...;Peut-être que si je pouvais répliquer une si intense chaleur…;;;Tal vez si pudiera replicar ese intenso calor...;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_intel_old_ghis_desc;You have arrived at the fields of Old Ghis; the place where the Valyrian Freehold of old smashed the Ghiscari Empire with it's dragons; razing Old Ghis to the ground. The fields were sowed with salt; sulphur and skulls; and even today the land is barren.;Vous êtes arrivé à l'endroit où se tenait l'ancienne Ghis; là où les valyriens écrasèrent l'Empire Ghiscari avec leurs dragons. Il ne reste plus rien de la cité; que des terres stériles ensemencées de sel; de soufre et de crânes.;;;Has llegado al lugar donde se encontraba Viejo Ghis; allí donde los valyrios aplastaron el Imperio Ghiscari con sus dragones. No queda nada de la ciudad; nada más que tierras estériles sembradas de sal; azufre y cráneos.;;;;;;;;;x;;;;;;
dragon_intel_old_ghis_opt;Kings and Emperors will fear me also;Les rois et les empereurs me craindront également.;;;Los reyes y emperadores me temerán igualmente.;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_intel_volantis_desc;Behind the Black Wall of Old Volantis dwells some of the few remaining Nobles of Valyrian blood. You talk and feast with many of them; trying to extract as much knowledge and tales of the Dragons of the Freehold as you can in an effort to understand how they were bred.;Derrière le Mur Noir de l'Antique Volantis; des nobles de sang valyrien demeurent encore. Vous discutez et festoyez avec nombre d'entre eux; cherchant à en apprendre le plus possible sur les dragons des Possessions et sur la façon de les élever.;;;Tras el Muro Negro de Volantis; todavía quedan nobles de sangre valyria. Discutes y festejas con muchos de ellos; buscando aprender lo máximo posible sobre los dragones del Feudo Franco y como criarlos.;;;;;;;;;x;;;;;;;;;;;
dragon_intel_volantis_opt;Hopefully it shall be useful;Cela pourrait être utile.;;;Esto podría ser útil.;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_intel_asshai_desc;The ancient city of Asshai is famed for it's knowledge of the arcane; and some say dragons still live in the mounatins of the Shadowlands.  You speak with as many mages as you can about dragon lore.;L'ancienne cité d'Asshai est fameuse pour son savoir concernant les arcanes; et certains disent que des dragons vivent toujours dans les montagnes des Contrées de l'Ombre. Vous discutez avec le plus de mages possible pour en apprendre plus à propos des dragons.;;;La antigua ciudad de Asshai es famosa por sus conocimientos sobre los misterios; y algunos dicen que los dragones todavía viven en las montañas de las Tierras Sombrías. Hablas con el máximo posible de magos para aprender lo todo lo que puedas sobre los dragones.;;;;;;;;;x;;;;;;;;;;;;;
dragon_intel_asshai_opt;Hopefully it shall be useful;Cela pourrait être utile.;;;Esto podría ser útil.;;;;;;;;;x;;;;;;;;;;;;;;;;
